Id,User,Text
82,scarfizal,RT @Zahrahmusa: I am glad that #COVID19 is not a serious threat in Nigeria. Almost everyone I know in the Netherlands knows someone who has…
83,valdez_lopez,"@nuevoleon En el módulo drive-thru de prueba de #Covid - Hospital Sección 50 (Mitras Norte), un hombre 40-50 años -… https://t.co/fEnlbxRdh7"
84,EFEnoticias_ES,"RT @EFEnoticias: Madrid registra 19 muertes más por covid y 2.567 nuevos contagios por #coronavirus.

Es la jornada con más casos desde el…"
85,BoiEngiNerd,RT @amjoyshow: #Coronavirus in the U.S. #CrossTalk https://t.co/ef5SJxUeWE
86,Bot_Corona_V,"RT @NossaAraguaina: Com esses, o Município chega a 17.028 casos confirmados, sendo desses 543 casos ativos da doença, 16.248 recuperados e…"
87,harimeena34,"RT @1stIndiaNews: #Bhilwara: कोरोना कहर के बीच राहतभरी खबर

अब रात्रि 9 बजे तक मंगवा सकेंगे बाजार का खाना, कलक्टर शिवप्रसाद नकाते ने आदेश…"
88,nomi6006,"RT @HafizUmairBinZ1: کوئی شرم ہوتی ہے کوئی حیا ہوتی ہے 
https://t.co/pNdXtOR2v3
@pmln_org @MediaCellPPP @KhawajaMAsif @Mustafa_PPP @BBhutto…"
89,ahakin,RT @SavePa2: The streets of #Gaza  can be seen empty of any passengers as the enclave enters a second day of strict lock-down over the rapi…
90,EFEnoticias_ES,"RT @EFEnoticias: Las comunidades relajan las restricciones frente al #coronavirus principalmente en desplazamientos, hostelería, horarios d…"
91,goRubenRuben,"@kenolin1 @LaPlataDems @JoeBiden 300,000 COVID-19 deaths. Very sad day in South Central Los Angeles and America.… https://t.co/k8bhc6tuJe"
92,castlejuice,She 'Predicted' #Coronavirus in a book published in 2008. Browne claimed that the common cold would be wiped out by… https://t.co/Fcq0THBxMe
93,Ivysosa22,"#Edomex: Actividades no esenciales deberán cerrar a las 17:00 h, ante repunte de #coronavirus (video) https://t.co/3ZB9hZmlOj"
94,aperru1,"RT @you_trend: 🔴 #Coronavirus, 12/12/20

• Attualmente positivi: 684.848
• Deceduti: 64.036 (+649)
• Dimessi/Guariti: 1.076.891 (+24.728)
•…"
95,ArvindK37809147,"RT @1stIndiaNews: #Bhilwara: कोरोना कहर के बीच राहतभरी खबर

अब रात्रि 9 बजे तक मंगवा सकेंगे बाजार का खाना, कलक्टर शिवप्रसाद नकाते ने आदेश…"
96,NossaAraguaina,"Com esses, o Município chega a 17.028 casos confirmados, sendo desses 543 casos ativos da doença, 16.248 recuperado… https://t.co/k27FsYZi6V"
97,patrisshin,"RT @regiondemurcia: 🏥Confirmados 251 positivos nuevos.

3.594 personas afectadas de #coronavirus en la #RegióndeMurcia hasta las 23:59 del…"
98,BURHANETTNSEVK2,"RT @eurodolar1980: Allah'in izniyle şu #coronavirus'ü kazasiz belasız atlatırsak, soldaki vaka haritasından sağdaki #TURAN haritasına geçec…"
99,paolochiariello,"#juorno #coronavirus I dati del #contagio in #Campania
https://t.co/jDlRBhnDUq"
100,katroia,"@FQLive @fattoquotidiano E facciamo le zone gialle, poi a gennaio il culo rosso ce lo fa il #Coronavirus"
101,Spofferoonie,"RT @SkyNews: BREAKING: The UK has recorded 21,502 new #coronavirus cases and 519 further deaths in the latest 24-hour period. 

Read more o…"
102,GlobalPandemics,ALERT: Employment During COVID-19 By The Numbers - Global Pandemic News | #Coronavirus #COVID19 #Protests -… https://t.co/TJgo7EHSHR
103,tinagota,"RT @elenabg_: ⚠️¡SE BUSCA!⚠️
Gente joven (15-29 años) para hablar de cómo les ha afectado la #pandemia del #coronavirus en cuanto a perspec…"
104,juornoit,"#juorno #coronavirus I dati del #contagio in #Campania
https://t.co/ufm0z4sVfN"
105,NooriMitra,"RT @IDA_Canada: #Iran: #Coronavirus Death Toll in 470 Cities Exceeds 182,500 https://t.co/xPQdWcs6aW #WeStand4FreeIran  @WHO  @MSF  @DrTedr…"
106,cleosagas1,"RT @TenerifeAhora: 🔴🔴 Tenerife suma 120 contagios más de COVID en las últimas horas #Datos #Coronavirus
https://t.co/1XJHu2CafH https://t.c…"
107,sondravet22,RT @US_TRANSCOM: Are you wearing your #COVID19 mask correctly? Visit https://t.co/yBUcy7YuDO for the best ways to wear your #coronavirus ge…
108,LiinaTa,RT @1worldvs1virus: Hand aufs Herz: Wirst du deine Kinder in der kommenden Woche zum Präsenzunterricht schicken oder nutzt ihr die Vorquara…
109,hitsradionews,"The White House says it expects the first #coronavirus #vaccines to be administered ""within days"" after they approv… https://t.co/9R8hgWlQop"
110,karipotter,"RT @holmescnn: ""Nurses give and give even if their cup has nothing left to give"" - Tessa Johnson who heads the North Dakota Nurses Assoc.…"
111,JovaniOrti,"RT @CsCValenciana: 🍊✅ Desde Cs proponemos un #PlanRenove para la indumentaria valenciana dotado con un millón de euros.
➡️🔝 Tenemos que ayu…"
112,netbacker,"RT @W7VOA: Yes, @WhiteHouse has resumed public tours amid the #coronavirus pandemic: https://t.co/GRFrgrjjOZ"
113,bitcoinconnect,PS5 restock update: here's the next likely order date if the schedule holds SEE MORE HERE ==&gt;… https://t.co/DZTXPHxvED
114,eloiseat6,"RT @W7VOA: Yes, @WhiteHouse has resumed public tours amid the #coronavirus pandemic: https://t.co/GRFrgrjjOZ"
115,Adnkronos,"#Coronavirus #Sardegna, 168 contagi e 7 morti: il bollettino https://t.co/kGV2gdMAU2 https://t.co/wtcXf1JT1i"
116,meer_nats,"RT @nosoupforgeorge: Dave Portnoy: ""This isn't about #coronavirus or how dangerous or the hospitals and rising, it's not.""

Ron Howard narr…"
