Id,User,Text
88,gipas69,"RT @PoytinaIrina: Άρχισε το φακέλωμα...ζητούν ενυπόγραφες δηλώσεις...στον ""προαιρετικό"" εμβολιασμό.
#Εμβολιο #Μητσοτακη_καθαρμα https://t.c…"
89,Widow_Mitsi,"RT @PoytinaIrina: Άρχισε το φακέλωμα...ζητούν ενυπόγραφες δηλώσεις...στον ""προαιρετικό"" εμβολιασμό.
#Εμβολιο #Μητσοτακη_καθαρμα https://t.c…"
90,ALagartsas,"-Ρε Κωστα τοξερες οτι οι ηγετες των δυτικων χωρων δηλωναν οτι θαναι οι πρωτοι που θα κανουν το #εμβολιο;
-Ε και;
-Τ… https://t.co/rulKTZASZE"
91,SpookyChaos,"RT @Zeljko952: Μέχρι το 2019 κάθε άνθρωπος θα ήταν καχύποπτος στην ιδέα υποχρεωτικού εμβολιασμού με ένα εμβόλιο λίγων βδομάδων.
Στο 2020 με…"
92,AntiDraseis,"RT @montgmoerybasic: Παιδια, οσο εσεις μαλωνετε για το ενοικιο του #Τσιπρας στο Σουνιο και για την μερα που θα ανοιξετε τις εκκλησίες (αν ε…"
93,lenapatsa,"RT @montgmoerybasic: Παιδια, οσο εσεις μαλωνετε για το ενοικιο του #Τσιπρας στο Σουνιο και για την μερα που θα ανοιξετε τις εκκλησίες (αν ε…"
94,aggelikiME25,"RT @Harhalas: Και το viagra έχει παρενέργειες αλλά αυτό το παίρνετε ε?

#πανδημια #Εμβολιο #Pfizer #Pfizervaccine"
95,newpostgr,"«Να διευκρινήσω ότι η εταιρεία Pfizer δεν πήρε καμία επιδότηση από το ίδρυμα Γκέιτς για να αναπτύξει το εμβόλιο», α… https://t.co/mz58KRQUp4"
96,theGreekoala,"RT @PoytinaIrina: Άρχισε το φακέλωμα...ζητούν ενυπόγραφες δηλώσεις...στον ""προαιρετικό"" εμβολιασμό.
#Εμβολιο #Μητσοτακη_καθαρμα https://t.c…"
97,GPolyzoidis,Τα εμβόλια που θα μας περισσέψουν ( είναι σίγουρο ότι θα περισσέψουν ) να δωθούν σε φίλες χώρες όπως η Αίγυπτος και… https://t.co/8oq3IatSPQ
98,afroditiluna,"RT @PoytinaIrina: Άρχισε το φακέλωμα...ζητούν ενυπόγραφες δηλώσεις...στον ""προαιρετικό"" εμβολιασμό.
#Εμβολιο #Μητσοτακη_καθαρμα https://t.c…"
99,Gogos_Mas,@newsbeast Μόσιαλε δεν μιλάμε για λίγους που είναι κατά των εμβολίων αλλά γιά πολλούς πολίτες που δεν θέλουν να γίν… https://t.co/XLnkXncZte
100,e_nea365,"RT @PoytinaIrina: Έριξε την μα@@@@@ της ημέρας ο 
Άδωνις Γεωργιάδης : «Όποιος δεν κάνει το εμβόλιο είναι ανόητος».
Μίλησε το τέρας εξυπνάδα…"
101,Aristeidis_B,"RT @PoytinaIrina: Έριξε την μα@@@@@ της ημέρας ο 
Άδωνις Γεωργιάδης : «Όποιος δεν κάνει το εμβόλιο είναι ανόητος».
Μίλησε το τέρας εξυπνάδα…"
102,Harhalas,"Και το viagra έχει παρενέργειες αλλά αυτό το παίρνετε ε?

#πανδημια #Εμβολιο #Pfizer #Pfizervaccine"
103,PoytinaIrina,"Έριξε την μα@@@@@ της ημέρας ο 
Άδωνις Γεωργιάδης : «Όποιος δεν κάνει το εμβόλιο είναι ανόητος».
Μίλησε το τέρας εξ… https://t.co/3Fe7hWd8do"
104,PaNipamy,"RT @idioinos: Ακολουθεί κοινωνικό μήνυμα... 
#COVID19greece #Πανδημια #Εμβολιο https://t.co/vEBYLEOCs2"
105,BillP____,"RT @LUZdSq7iaKMY3H2: Τελικά ο ιός είναι πιο #ΕΠΙΚΙΝΔΥΝΟΣ ή το #ΕΜΒΟΛΙΟ;;;;
Τελικά πρέπει να αναρωτηθούμε αν μας οδηγούν στην ΣΩΤΗΡΙΑ ή στην…"
106,LegibleEvan,RT @GrPressing: 10η Δεκεμβρίου Παγκόσμια Ημέρα Ανθρωπίνων Δικαιωμάτων: Υπάρχουν ακόμη σκλάβοι...; https://t.co/1n7p32ANDR #Λεγραινα #Λlbion…
107,LegibleEvan,"RT @GPolyzoidis: Οι αλλεργικοί της Ευρώπης να κάνουν το Ρώσικο εμβόλιο και 
Οι αλκοολικοί της Ρωσίας το ευρωπαϊκό 😉 
Οι Τούρκοι ας πιούν τσ…"
108,LegibleEvan,RT @bteway1: Να μην κάνουν το εμβόλιο οι αλλεργικό οι έγκυες και τα παιδιά. Τέλεια και στην Ρωσία όσοι το κάνουν να μην πίνουν για 2 μήνες.…
109,LegibleEvan,"RT @EmOikonomidis: Η αναπόφευκτη «καινούρια ηγεσία», μετά την πανδημία https://t.co/Va4bXdMITe #Ysterografa #Υστερογραφα #κορονοϊός #Εμβολι…"
110,LegibleEvan,RT @redwine95760158: #lockdown #Εμβολιο #κυβερνηση_τσιρκο «Ντανιέλ Άμεν: Όταν είστε 18 ανησυχείτε για το τι μπορεί να σκέφτονται οι άλλοι γ…
111,LegibleEvan,RT @O_fatseas_sas: Ο ουρανός έκανε το #Εμβολιο και είναι έτσι ;;
112,LegibleEvan,"RT @newsbeast: Κυβερνοεπίθεση στον Ευρωπαϊκό Οργανισμό Φαρμάκων: Δεν αλλάζει το χρονοδιάγραμμα για το #εμβολιο των Pfizer/BioNTech
https://…"
113,LegibleEvan,"RT @PoytinaIrina: Άρχισε το φακέλωμα...ζητούν ενυπόγραφες δηλώσεις...στον ""προαιρετικό"" εμβολιασμό.
#Εμβολιο #Μητσοτακη_καθαρμα https://t.c…"
114,candydocx,RT @DailyPostgr: Τα λεγόμενα του Μπόρις Τζόνσον δεν βρήκαν σύμφωνο τον Μάνφρεντ Βέμπερ #Weber #Johnson #εμβόλιο  https://t.co/mCJx83VDuB
115,LegibleEvan,RT @Aigaioglaros22: #πανδημια #κυβερνηση_μητσοτακη #μκο #λαθρομεταναστες #κορωνοϊός #εμβολιο #BBxeftilesgr https://t.co/mntRW5Sahi
116,LegibleEvan,"RT @GreeceAnalytica: Ήθελα να παω Αγγλια να κανω το #Εμβολιο ... 15 μέρες καραντινα μου είπαν από τη Πρεσβεία! 
Ήθελα να παω Γερμανία... 10…"
