Id,User,Text
42,GiannesT1,"#Πολιτικη
#Κορωνοιος
#Καραντινα
#Λοκνταουν
#lockdown
Γαλλία: προβληματισμός για χαλάρωση ή αυστηροποίηση των μέτρων https://t.co/KxjFHV1c2W"
43,GiannesT1,"#καραντινα
«Εφτά καραντινάτες ιστορίες» - διαδικτυακά από τη Βίλα Ζωγράφου https://t.co/eScGyqhJgK"
44,GiannesT1,"#Καραντινα
«Ετών 15…» https://t.co/hh5uprwqdG"
45,GiannesT1,"#Κορωνοιος
#Καραντινα
Η γεωγραφική κατανομή κρουσμάτων σήμερα https://t.co/RtLwkM2R3B"
46,GiannesT1,"#Καραντινα
«ασίγαστη θε να 'ναι σαν τη γη σου» η φωνή σου https://t.co/tP6tmGqFLA"
47,inikolao,Να κοιμηθούμε και να ξυπνήσουμε σε ενα κόσμο που είναι Ολα οπως πριν.  Σε ενα κόσμο που η αγκαλιά είχε αξία και το… https://t.co/ifI6P6ouXs
48,GiannesT1,"#ΝΔ_ξεφτιλες
#ΝΔ_Χουντα
#ΝΔ_αλητες
#ΝΔ_ΑΠΑΤΕΩΝΕΣ
#ΝΔκαθαρματα
#ΝΔεγκληματιες
#ΝΔδολοφονοι
#καραντινα
#Πολιτικη… https://t.co/ObCNeRpiRM"
49,doctvgr,"Η Missy Merida μας αφιερώνει μια συλλογή σχεδίων και γράφει για τις κρίσεις πανικού
#καραντίνα
https://t.co/THgLSqRX2D"
50,italianoVeroGR,"#italianoVeroGR #Ιταλικά 🇮🇹

#Ιταλία #Ρώμη #Σήμερα #Τώρα #Δεκέμβριος #Πρωτοχρονιά #Ελλάδα #ΑΣΕΠ #Αθήνα #Θεσσαλονίκη… https://t.co/Yb6jvEvFRs"
51,Simon_Chatz,#Κεραμεως #τηλεκπαιδευση #κυβερνηση_αγραμματων #καραντινα https://t.co/1KXxjNv48o
52,GaryBlauman_,"RT @Ypertati_plaka: Ε ε ε έρχεται ....
.
.
.
.
.
#Courier  #AgriesMelisses #Araxni #OLYFCP #καραντινα https://t.co/4LAKY7X3ET"
53,Ypertati_plaka,"Ε ε ε έρχεται ....
.
.
.
.
.
#Courier  #AgriesMelisses #Araxni #OLYFCP #καραντινα https://t.co/4LAKY7X3ET"
54,NIptamenos,#κρουσματα #εμβολιο #καραντινα #μασκα #καραντινα2 #lockdowngr #Lockdown2 https://t.co/ic4uIKNiDr
55,Clavdianosdion,Τα σεξ πάρτυ θεριεύουν στο Βέλγιο! Τι γίνεται βρε παιδιά κάτι ΔΕΝ ΚΑΤΑΛΑΒΑΙΝΟΥΜΕ εδώ στην Ελλάδα με την #καραντίνα και τον #κορονοιο !😅
56,Ioannes_E,Η τελευταία φορά που εκκλησίες σφραγίζονταν από κρατικές δυνάμεις και οι πιστοί συλλαμβάνονταν ως παραβάτες του νόμ… https://t.co/Dynjyo1w1S
57,theveganskunk,ΣΥΝΕΝΤΕΥΞΗ ΜΕ ΤΗΝ VEGAN GECKO - #SKUNKCASTS  #5 https://t.co/oPFTiJCL2t via @YouTube #vegan #podcast #ΕΛΛΑΔΑ… https://t.co/j5XpxErI3S
58,Moonshine427,"""ΠΩΣ ΓΙΝΑΤΕ ΒΙΓΚΑΝ?"" ΣΥΝΕΝΤΕΥΞΗ ΣΤΟΝ ΑΣΒΟ  #SKUNKCASTS  #6 https://t.co/LdPPDuMnKw μέσω @YouTube #vegan #βίγκαν… https://t.co/a2SO7BYmjF"
59,theveganskunk,"""ΠΩΣ ΓΙΝΑΤΕ ΒΙΓΚΑΝ?"" ΣΥΝΕΝΤΕΥΞΗ ΣΤΟΝ ΑΣΒΟ  #SKUNKCASTS  #6 https://t.co/OXU5gLwtUU μέσω @YouTube #vegan #βίγκαν… https://t.co/tNopypGof7"
60,ThePresidentGr,Βάδη-Βυρτεμβέργη: Οι αδιάλλακτοι αντιρρησίες καραντίνας θα εισάγονται υποχρεωτικά στα νοσοκομεία #Βάδη-Βυρτεμβέργη… https://t.co/curi3BrqJS
61,trooperas,"Μάλιστα...:
Ιταλία: Φωταγωγήθηκε το μεγαλύτερο χριστουγεννιάτικο δέντρο στον κόσμο | https://t.co/WrOxfDW5fA |… https://t.co/3bYNW4njqN"
62,KingFotizCheir,"Ανοίξτε την καραντίνα, το σύστημα υγείας μπορεί να αντέξει, των courier οχι! #καραντίνα #κορονοϊος #κρουσματα #lockdown2gr"
63,purpletiana80,https://t.co/JdTtoT8j4V awesome ✨👍 #καλαντα #καραντίνα λολ 😜😅🎶🥳✋✋✋🎄☃️
64,fiat4x4_gr,"Όσοι δεν είναι επιδοτούμενοι, ούτε μακροχρόνια #άνεργοι και είναι θύματα του 1ου #lockdowngr (απολυθήκαν μόλις έληξ… https://t.co/bkGtn28eC5"
65,miumiu_dim,RT @skaigr: Άγιον Όρος: Σε καραντίνα έξι Μονές – Νεκρός ένας μοναχός από κορωνοϊό  #Ελλάδα #Άγιον_Όρος #μονές #καραντίνα #κρούσματα #κορωνο…
66,qS5EU1IDmUt2bPb,RT @skaigr: Άγιον Όρος: Σε καραντίνα έξι Μονές – Νεκρός ένας μοναχός από κορωνοϊό  #Ελλάδα #Άγιον_Όρος #μονές #καραντίνα #κρούσματα #κορωνο…
67,skaigr,Άγιον Όρος: Σε καραντίνα έξι Μονές – Νεκρός ένας μοναχός από κορωνοϊό  #Ελλάδα #Άγιον_Όρος #μονές #καραντίνα… https://t.co/XBYJ4659bV
68,yw30ffTI7fjyupB,"RT @NikopoulosBabis: Η @DEI_GR ακολουθεί παράνομη τακτική συμψηφισμού οικιακών κ επαγγελματικών οφειλών καταναλωτών, (ακόμα κ για τελικούς…"
69,Toughbutfair2,Ο Μητσοτάκης ποτέ θα ενημερώσει τον κόσμο το τι θα γίνει με την καραντίνα; Κυριακή βράδυ; #Μητσοτακης #ΜΕΘ… https://t.co/yxlFw98pYJ
70,NikopoulosBabis,"Η @DEI_GR ακολουθεί παράνομη τακτική συμψηφισμού οικιακών κ επαγγελματικών οφειλών καταναλωτών, (ακόμα κ για τελικο… https://t.co/2iDkcIACAX"
71,italianoVeroGR,"#italianoVeroGR #Ιταλικά 🇮🇹

#Ιταλία #Μαθήματα #Βενετία
 #Ταξίδια

#Εργασία #Δουλειά #ΑΣΕΠ #Σπουδές #ΟΑΕΔ

#Ελλαδα… https://t.co/i1VdAh9jVk"
72,ioannisvatatzhs,Tου Κόσμου τα σκάνδαλα γίνονται στην #κυβερνηση_τσιρκο! Ακούστε τον μόνο Σοβαρό Πολιτικό Αρχηγό @velopky της… https://t.co/Q8QvLXD9bS
73,press4ugr,"Κάλεσε #Ταξί για σοκολάτα, σουβλάκια και... προφυλακτικά - https://t.co/HrimbSGYLh - #Βόλος #Καραντίνα #Ταξί https://t.co/xmquEkVdT1"
74,theveganskunk,ΤΟ ΓΕΦΥΡΙ ΤΟΥ ΚΟΥΚΟΥ &amp; Η ΑΡΧΑΙΑ ΓΟΡΤΥΝΑ - ΤΙ ΘΑ ΕΒΛΕΠΕΣ https://t.co/wm6KXyM7tL via @YouTube #drone #drones #4k… https://t.co/a1igkpo3GR
75,Moonshine427,ΤΟ ΓΕΦΥΡΙ ΤΟΥ ΚΟΥΚΟΥ &amp; Η ΑΡΧΑΙΑ ΓΟΡΤΥΝΑ - ΤΙ ΘΑ ΕΒΛΕΠΕΣ https://t.co/Y1BeR3qQjA via @YouTube #drone #drones #4k… https://t.co/l05KbZERiG
76,italianoVeroGR,"#italianoVeroGR #Ιταλικά 🇮🇹

#Υποστήριξη #Χριστούγεννα #MenoumeSpiti #Πρωτοχρονιά #Δωρεάν #Κινητό #Μάθημα… https://t.co/Lw8Vs9vQkm"
