Id,User,Text
85,Crystal85087337,"RT @MichaelRapaport: If you have a platform of any kind and you have #Covid you MUST start sharing your story/situation ASAP!
Good/Bad or I…"
86,CoachCoreyWayne,RT @AlexBerenson: Funny story: @cnbc told me that @joesquawk wanted me on to talk #Covid. We confirmed an interview. Then it was canceled.…
87,geneCRISPRtreat,"Animated timeline maps of #COVID spread in US by region
#COVID19
 https://t.co/MU67kJikik"
88,Sempreverde80,RT @LucaTalotta: A #OraDiFuturo il pedagogista Roberto Benes: “Dagli elaborati dei bimbi emerge la loro associazione tra #covid e #sostenib…
89,BradDodson18,"UNCC continues to make sound decisions on keeping its faculty and students safe
#UNCC #COVID"
90,start_small,"Employment attorneys from @LowensteinLLP will explore issues in legal liability, compliance and risk mitigation for… https://t.co/lJshZn6GxT"
91,rebeccalandi88,RT @LucaTalotta: A #OraDiFuturo il pedagogista Roberto Benes: “Dagli elaborati dei bimbi emerge la loro associazione tra #covid e #sostenib…
92,Zenith07958604,"RT @ockhams: Landen die een eerste strenge #lockdown en #coronamaatregelen oplegden, die krijgen de tweede golf extra hard op hun dak. Feit…"
93,DrRalphNap,"RT @AlexBerenson: My old friend (former friend?) @andrewrsorkin bleating ""it's science, it's science,"" while blocking me from coming on his…"
94,lovexxrat,"RT @axidentaliberal: In May the House passed a $3.3 trillion #COVID relief bill

#MoscowMitch said no

In October the House passed a $2.2 t…"
95,b_ellicott,Misgendered twice in 1 day on mass transit...thanks #COVID! Feel free to send all the things!
96,isidro44173024,"RT @ErikaPSUV: Cuando se trata de agradecer el heroísmo de quienes se dedican a erradicar la presencia del #COVID-19 de nuestro territorio,…"
97,aikimi77,RT @ANGED_es: El #cierre de tiendas en algunas #CCAA no se justifica. Los grandes establecimientos garantizan una gestión de riesgos riguro…
98,dphishin,"@john_sipher @j_putin But he won't, because @senatemajldr doesn't give a shit about Americans in general, and those… https://t.co/JmloWaj1ue"
99,AnneMcCloyNews,"""If I had enough state police, I would do it myself, I don't,"" said @NYGovCuomo on his call for local governments t… https://t.co/d6vsWJRtut"
100,derbyshireprom1,RT @derbyshiredales: At close of business on Friday we'd processed for payment 497 applications for support from businesses claiming grants…
101,susan_welch7,RT @RobertKennedyJr: So wrong! Pharma execs hired to advise U.S. military-run race for #COVID #vaccine were allowed to keep lucrative inves…
102,JnKConstituent2,"RT @AlexBerenson: My old friend (former friend?) @andrewrsorkin bleating ""it's science, it's science,"" while blocking me from coming on his…"
103,ACSouthAsia,The Asian Development Bank (#ADB) on Wednesday approved a $100 million grant to help the government of #Afghanistan… https://t.co/WhozQsTubb
104,DanielaOsad,RT @thaliafloresf: 1) Las cifras de los delitos y la violencia en medio del #Covid-19 2) ¿Fue un error concentrar tres funciones en el @Min…
105,JonnySicilia,"RT @agenzia_nova: Il #Covid ha aperto un focus sul un certo atteggiamento ostile nei confronti della #caccia, un settore che rappresenta 0,…"
106,Alfinsoyyo,"GUERRA DE VACUNAS

Estoy lista para entrar en la pelea

#Vacuna #VacunaCovid #VacunaCovid19 #covid19 #Covid #Covax https://t.co/mcRpFWTd9s"
107,AlaxaD,"RT @LesEchos: #Covid : les contaminations sont plus fréquentes dans le milieu familial

👉 https://t.co/wXXyPfF1a4 https://t.co/sRMHiTUefy"
108,LysanderWrites,"RT @yangyang_cheng: ""76 Days"" by @beijingloafer, a powerful portrayal of Wuhan hospitals during #COVID, opens at virtual cinemas nationwide…"
109,Harding_High,"RT @CityofBptCT: #Bridgeport lets continue to follow #COVID protocols. 

😷 wear a mask, social distance, and avoid large gatherings.

#stay…"
110,zazoomblog,Covid nuovo farmaco antivirale può bloccare la trasmissione del virus in 24 ore -  #Covid #nuovo #farmaco… https://t.co/I71qTTkzqe
111,anamitethau,"RT @tcabarrus: L'empathie d'#EmmanuelMacron envers les #jeunes précaires, isolés, qui ont besoin de souffler. ""On n'a jamais vécu une telle…"
112,samy45,"RT @ilyseh: Instead of providing #COVID relief, the GOP wasted precious time for struggling families by focusing their political will on ra…"
113,am_wex,"RT @axidentaliberal: In May the House passed a $3.3 trillion #COVID relief bill

#MoscowMitch said no

In October the House passed a $2.2 t…"
114,Alex911A,"RT @VintageKidsNL: @Roelientje @Dutchsheepdog @MinPres Niveau nul anders gaat heeeeel lang duren maar is juist bedoeling, #rutte weet wel #…"
115,migasocial,"Mira lo que te dice el burrito🐴 lucero.
Humor #conmigasocial y muy de #Adviento y #Covid 

(Con una pequeña licenci… https://t.co/7p661zYpkD"
116,Christine_Brim,"RT @AlexBerenson: My old friend (former friend?) @andrewrsorkin bleating ""it's science, it's science,"" while blocking me from coming on his…"
117,NextGen_docs,RT @Geovax_News: COVID Vaccines - Not a Sprint - An Ultra Marathon  https://t.co/2MbYTJOLJc #vaccines #COVID-19 @newsmax @HeatherChilders $…
118,aracel28700038,"RT @LogicasaOficial: #4Dic | Desde @LogicasaOficial te recordamos que el #Covid-19 no se ha ido, por ello, te exhortamos a no bajar la guar…"
119,CertNoble,"3 grudnia, z udziałem Piotra Furmanka odbyło się 1 posiedzenie #ISO TC 304/WG 4 -Pandemic preparation and response.… https://t.co/4CD1269Ybd"
120,AliceRiversong,"RT @axidentaliberal: In May the House passed a $3.3 trillion #COVID relief bill

#MoscowMitch said no

In October the House passed a $2.2 t…"
121,RebelKnight50,"RT @thereal_truther: For years anti-vaxxers have been asking for:

- Large trials w/ saline placebos 
- Eliminating “unsafe” adjuvants 
- T…"
122,GaryZPon,RT @alict0421: @NBCNews This is total BS!! This pandemic HOAX is over. We know the real story. #OpenUpAmerica #NoMoreLockdowns Dr. Slams Jo…
123,Lindaloow,"RT @Join_ZOE: Take 1 minute daily to report your health using the #COVIDSymptomStudy app 📱

RT to share and protect your community by helpi…"
124,NalanErden1,"RT @kenanpeker33: #Covid-19 testi pozitif çıkan @Akparti #Tarsus İlçe Başkanımız Sn. @hasanpodak'a geçmiş olsun dileklerimi iletiyor, Rabbi…"
125,Mr_Cool_jg,"En CDMX se acabaron las variaciones pantone del color naranja y ahora pusieron el semáforo en color ""Naranja al límite""

#Covid-19"
126,AngelaReiersen,"RT @MedscapePsych: Recent study of patients with mild #COVID found encouraging results with fluvoxamine, making #antidepressants the top @m…"
127,c_hopp2014,"RT @OhCanadiana: None of the business closures related to #COVID in Canada needed to happen...

Every small business that has died - their…"
128,Sky_Lee_1,"RT @axidentaliberal: In May the House passed a $3.3 trillion #COVID relief bill

#MoscowMitch said no

In October the House passed a $2.2 t…"
129,mags59725513,"BREAKING: #Canada reports 37,478,488 people DO NOT have Covid-19 today. That is 99.99932% of the population… https://t.co/Eyc4FMW4Xl"
130,naatxhoran,#FirstDates4D #aot135spoilers #4DeDiciembre #COVID19 #COVID #AEWDynamite #LaVozGranFinal https://t.co/kaL9IUrqbt
131,Sophie_Mokoena,"RT @StephNebehay: .@DrTedros says on taking #COVID-19 #vaccine - ""I would be happy to do it. But at the same time I need also to make sure…"
132,martok112,"RT @AlexBerenson: My old friend (former friend?) @andrewrsorkin bleating ""it's science, it's science,"" while blocking me from coming on his…"
133,funkyfairy24,RT @ToddbrookLP: I was in the #Harlow Town Centre today and a minority but still too many people are acting as if #covid has gone away. IT…
134,BCHD,Wearing a face covering is one of the best ways to #SlowTheSpread of #COVID-19. Our community benefits when individ… https://t.co/m3uXz6GBm1
135,SophiaLamar1,@thomaskaine5 Once all my questions re #COVID-19Vaccine are answered will consider it..
136,xarratt,RT @linfolibre: La preuve que la fermeture des restaurants et bars en France n’est pas efface et ne sert à rien... comparatif Espagne/ Fran…
137,BianaMuno,RT @thaliafloresf: 1) Las cifras de los delitos y la violencia en medio del #Covid-19 2) ¿Fue un error concentrar tres funciones en el @Min…
138,DeepInTheHills,and #MoscowMitch blocks another relief bill even though Pelosi compromised. Pelosi did sign on to the .@senate gop… https://t.co/oyvkgsFmFw
139,ursusnero,"RT @SinLinea_Mx: El Presidente López Obrador informó que ""se está buscando contratar a nuevo personal médico"" para que haya relevo ""porque…"
140,Effie_ONB,"Today I had an informative meeting with Joseph Lyle, Regional Manager with @ProRespInc about how ProResp supported… https://t.co/0Og7V8S8lp"
141,kikinacosta1,RT @laloeluna: ¿Qué tipo de sistema inmunológico tiene @brizuela27_cone para dar positivo de #Covid el martes y negativo el viernes con 2 p…
142,libertlibert11,"RT @DocteurGonzo4: Le #clofoctol : la molécule «miracle» de l'Institut Pasteur contre le #Covid

Un simple antibiotique utilisé depuis 1978…"
143,JuanLui53289466,"RT @SinLinea_Mx: El Presidente López Obrador informó que ""se está buscando contratar a nuevo personal médico"" para que haya relevo ""porque…"
144,MilaZenji,"Italians decry Christmas Covid travel ban as 'slap in the face' https://t.co/yrCNPMPVgl
Dear Salvini, Italian clown… https://t.co/ynhVj1UrAZ"
145,injectmysmile,"Yes I it was me who painted my nails, I don’t know how else to do it than this. After about three showers, doing th… https://t.co/hVuWLuX2eA"
146,SanaAgencia,"Confirman 86 nuevos casos de #Covid-19 en #Siria
https://t.co/yeVnEOuecw https://t.co/BTS64jpftB"
147,1Phineasmaximus,"RT @ABCthedrum: Look, this might be one of the strangest - but greatest - hobbies we've seen out of #COVID hotel quarantine, courtesy of Cy…"
148,EnglishandPeace,"Then #COVID happened. With #lockdown, we reorganized to give me more workspace but now there is no room for guests… https://t.co/uLRp0akrAx"
149,elliotlozano77,RT @KPIXtv: #BREAKING #COVID Restrictions: #BayArea health officers announce regional shelter-in-place restrictions to begin Sunday https:/…
150,Otisface,"RT @MichaelRapaport: If you have a platform of any kind and you have #Covid you MUST start sharing your story/situation ASAP!
Good/Bad or I…"
151,LisaLisax31,@NHS @NHSMillion #NHS #Doctors #nurses #COVID19 #Covid19UK #COVID
152,NVSData,RT @DaleOlausen: Covid-19 – Is it Now Really a Casedemic?: https://t.co/sx3xywvtoB #probability #regression  #math #datascience #modelling…
153,Thanosjr16,"RT @SwayGuevara___: Republicans won’t give you $1200, but they WILL still do arms sales to benefit Israel. 

#COVID #stimulus #israel https…"
154,GLantzanakis,"RT @kuriakigian: Ένα τεράστιο ευχαριστώ στο Υγειονομικό προσωπικό του νομού, στις υπηρεσίες του ΕΟΔΔΥ @eody_gr της Πολιτικής Προστασίας @GS…"
155,sandrinec558,"RT @davidlisnard: Une application pratique, proposant plusieurs fonctionnalités, qui renforce la coordination entre médecine de ville et hô…"
156,LosIntocablesTv,"@thecentenator en #LosIntocables:  ""Errejón es un comunista bolivariano""
#Sánchez #Politica #Covid #EstadoDeAlarma… https://t.co/jQEdqNvMbP"
157,AndreaBuata,RT @thaliafloresf: 1) Las cifras de los delitos y la violencia en medio del #Covid-19 2) ¿Fue un error concentrar tres funciones en el @Min…
158,740KVOR,RT @ColetteBordelon: Stauch’s defense team claims the doctor responsible for the evaluation cannot complete it for an “indeterminate amount…
159,Lulu79955474,"RT @tempoweb: Tremendo attacco social, #Bonaccini si scusi con #Montesano. @Storace : troppa superbia, governatore #covid #4dicembre  https…"
160,SPGMIRealEstate,Data center real estate investment trusts have sold off in recent weeks amid growing optimism about #COVID-19 vacci… https://t.co/cdbXzjOaxi
161,realOBF,@RexChapman Sorkin is typical of Acela Elites who believe - without any training or credentials - they know better… https://t.co/chfNogvqXE
162,XboxRetweeter,RT @bitcoinconnect: Best Cyber Monday PS5 and PlayStation Deals That are Still Live - IGN SEE MORE HERE ==&gt; https://t.co/8PTOFMzQGs  #ninte…
163,DiarioChiapas,🇨🇭🎼🎄 #Internacional | Ante el #riesgo de nuevos casos de #COVID #Suiza prohíbe cantar en #navidad en las iglesias |… https://t.co/VsknoFDRhn
164,WaysandMeansGOP,"While American #smallbiz and families across the country continue to struggle, Pelosi has decided to prioritize leg… https://t.co/oMbxqQUOsF"
165,VBofPerth,"RT @OhCanadiana: None of the business closures related to #COVID in Canada needed to happen...

Every small business that has died - their…"
166,RADMKenBernard,"RT @DavidHarrisAJC: When I wonder how long we’ll be in #COVID lockdown, I think of my:

-Wife, then 16, hiding for weeks in Libya in 1967,…"
167,Poetvix,Not even trying to hide it. You won't be human if you take this shot. You won't be in control of you anymore either… https://t.co/kXZjDx4m0n
168,ColetteBordelon,Stauch’s defense team claims the doctor responsible for the evaluation cannot complete it for an “indeterminate amo… https://t.co/HX5Fb5TClZ
169,maus_ki,"RT @nvinoticiasoax: Este es el decálogo que lanzó #AMLO para evitar la propagación de #COVID-19 en fiestas decembrinas |  López Obrador, re…"
170,LuCeeLu2,RT @JustDKG: It's mind boggling that after watching most of the developed world shut down or implement aggressive restrictions due to #COVI…
171,BradDodson18,"More confirmed cases of #COVID at #UNCC seen from August-October causing continuation of online-delivery.
#onlineclasses"
172,AleDiezRT,"RT @SomosMGL: MEDICOS POR LA VERDAD, desmantelando la farsa del covid #USA #Covid-19(84) https://t.co/XBKH9CmeIn

NO A LA FALSA PANDEMIA Y…"
173,GuidoBerthold,"RT @Langewand1: Ein kranker Präsident an der Staatsspitze, der evtl. sogar stirbt? Was die USA heute erschüttert, traf die Weimarer Republi…"
174,LEcho3Rivieres,Pandémie : 83 nouveaux cas s’ajoutent au bilan régional #covid https://t.co/LYviRm7381 https://t.co/6bc1gP5WXX
175,antonio32114296,"RT @benq_antonio: #Lamorgese controlli SERRATI droni, elicotteri alle FRONTIERE per chi deve andare sulla NEVE a #Natale (ma porti APERTI!)…"
